Species,n_all,min_length_mm,max_length_mm
F0063,4699,25,722
F0301,2337,28,305
F0342,2333,16,198
F0317,2296,5,673
F0233,1897,46,391
F0331,1878,22,306
F0196,1632,29,151
F0314,1483,11,226
F0361,1251,16,172
F0181,1224,26,472
F0061,974,31,310
F0311,961,30,316
F0313,705,32,189
F0201,643,39,180
F0186,626,40,900
F0220,443,43,640
F0163,287,41,591
F0366,242,20,150
F0334,210,120,710
F0051,109,150,765
F0208,47,31,104
F0251,46,436,1025
F0075,42,74,945
F0131,40,233,943
F0312,33,51,387
F0316,33,69,475
F0371,33,204,702
F0194,28,37,392
F0320,27,19,132
F0076,14,67,690
F0166,13,486,832
F0041,12,180,757
F0601,11,346,511
F0302,10,130,403
F0078,8,455,622
F0319,7,77,303
F0234,6,245,638
F0198,5,95,868
F0231,3,315,352
F0073,2,545,840
F0170,2,430,432
F0171,2,201,384
F0209,2,54,71
F0282,2,52,53
F0081,1,690,690
F0121,1,110,110
F0168,1,534,534
F0203,1,79,79
F0291,1,109,109
